ID Cliente,Fecha emisión factura,Fecha vencimiento factura,Monto
5284,2022-03-23,2022-04-22,24212999.999999996
5284,2022-05-25,2022-06-24,21855000.0
7841,2022-08-02,2022-09-01,25698750.0
3271,2022-04-12,2022-05-12,13668000.0
3598,2022-01-30,2022-02-28,16911000.0
3271,2022-08-10,2022-09-09,17634000.0
4092,2022-08-23,2022-09-22,18804000.0
5196,2022-07-08,2022-08-07,18000000.0
7856,2022-04-03,2022-05-03,11346000.0
9250,2022-05-09,2022-06-08,8979000.0
2125,2022-03-02,2022-04-01,10061250.0
2820,2022-05-07,2022-06-06,22170000.0
6077,2022-08-20,2022-09-19,18885000.0
3568,2022-08-08,2022-09-07,21594000.0
7245,2022-08-17,2022-09-16,15480000.0
8942,2022-04-21,2022-05-21,10236000.0
3598,2022-08-09,2022-09-08,17202000.0
5284,2022-05-03,2022-06-02,11853000.0
6708,2022-02-13,2022-03-14,32527499.999999996
4651,2022-01-04,2022-02-03,23237999.999999996
7245,2022-07-20,2022-08-19,19884000.0
0379,2022-02-14,2022-03-16,16563000.0
9014,2022-04-13,2022-05-13,24686250.0
7856,2022-05-18,2022-06-17,12162000.0
0706,2022-04-16,2022-05-16,15540000.0
6831,2022-05-08,2022-06-07,10887000.0
2687,2022-06-17,2022-07-17,18066000.0
9212,2022-06-02,2022-07-02,17913000.0
6048,2022-08-24,2022-09-23,22902000.0
1408,2022-04-18,2022-05-18,14178750.0
8156,2022-03-28,2022-04-27,19320000.0
0465,2022-09-14,2022-10-14,9858000.0
7228,2022-03-09,2022-04-08,12063750.0
9883,2022-04-17,2022-05-17,10788750.0
5164,2022-02-22,2022-03-24,27066000.0
6160,2022-08-20,2022-09-19,19647000.0
5529,2022-07-10,2022-08-09,21705000.0
2676,2022-04-26,2022-05-26,19503000.0
2621,2022-02-21,2022-03-22,29816250.000000004
8389,2022-01-30,2022-03-01,25650000.0
6177,2022-02-05,2022-03-07,11799000.0
7050,2022-06-16,2022-07-16,18678000.0
9725,2022-05-02,2022-06-01,35034000.0
4460,2022-09-01,2022-10-01,27663750.0
8887,2022-04-16,2022-05-16,14017500.000000002
4460,2022-05-24,2022-06-23,30894000.0
4640,2022-04-19,2022-05-19,21006000.0
9883,2022-03-29,2022-04-28,5602500.0
5529,2022-03-12,2022-04-11,13989000.0
0709,2022-07-07,2022-08-06,4095000.0
8887,2022-05-30,2022-06-29,12828000.0
9212,2022-02-21,2022-03-23,22077000.0
9928,2022-03-09,2022-04-08,17478750.0
4092,2022-09-28,2022-10-28,18042000.0
2820,2022-05-25,2022-06-24,16827000.0
0709,2022-09-27,2022-10-27,18321000.0
4640,2022-03-07,2022-04-06,27102000.0
3568,2022-04-03,2022-05-03,23337000.000000004
6627,2022-02-15,2022-03-17,28687500.0
7938,2022-08-14,2022-09-13,16533750.000000002
2447,2022-04-06,2022-05-06,10701000.0
7654,2022-09-19,2022-10-19,7086000.0
9149,2022-04-01,2022-05-01,15285000.0
1080,2022-09-12,2022-10-12,28370999.999999996
8887,2022-02-11,2022-03-13,7911000.0
7841,2022-06-20,2022-07-20,19008000.0
5920,2022-04-26,2022-05-26,20505000.0
8364,2022-05-17,2022-06-16,20945999.999999996
8102,2022-08-18,2022-09-17,21517500.0
5924,2022-07-28,2022-08-27,28326000.0
7260,2022-08-21,2022-09-20,20322000.0
9181,2022-08-27,2022-09-26,25518000.0
7600,2022-07-24,2022-08-23,14451000.0
9928,2022-04-03,2022-05-03,24843750.0
9181,2022-09-29,2022-10-29,28533750.0
7600,2022-02-11,2022-03-12,19701000.0
8820,2022-03-31,2022-04-30,22047000.0
5284,2022-04-28,2022-05-28,20202000.0
1447,2022-05-02,2022-06-01,16917000.0
7600,2022-05-12,2022-06-11,16497000.0
3271,2022-04-08,2022-05-08,28766249.999999996
6831,2022-04-11,2022-05-11,15727500.0
8102,2022-06-25,2022-07-25,30255000.000000004
1408,2022-07-04,2022-08-03,12708000.0
8690,2022-03-01,2022-03-31,22890000.0
0625,2022-05-11,2022-06-10,15903000.0
0688,2022-08-10,2022-09-09,15217500.0
0625,2022-09-07,2022-10-07,24060000.0
9174,2022-05-12,2022-06-11,22410000.0
5573,2022-01-17,2022-02-16,32351250.0
8364,2022-09-15,2022-10-15,24510000.0
5164,2022-09-01,2022-10-01,19770000.0
3448,2022-07-30,2022-08-29,25016249.999999996
6077,2022-09-25,2022-10-25,5670000.0
4640,2022-09-12,2022-10-12,22854000.000000004
9758,2022-08-20,2022-09-19,10146000.0
9212,2022-01-15,2022-02-14,14454000.0
7209,2022-06-24,2022-07-24,14904000.0
5196,2022-04-13,2022-05-13,29099999.999999996
8942,2022-09-18,2022-10-18,5946000.0
5284,2022-08-04,2022-09-03,27356250.0
1080,2022-02-22,2022-03-24,35021250.0
0783,2022-09-30,2022-10-30,16376250.0
5196,2022-02-25,2022-03-26,24599999.999999996
0379,2022-09-01,2022-10-01,20865000.0
6048,2022-03-19,2022-04-18,22176000.0
5875,2022-09-18,2022-10-18,13851000.0
5920,2022-05-05,2022-06-04,24660000.0
9883,2022-05-08,2022-06-07,15468750.0
9149,2022-03-14,2022-04-13,8970000.0
6627,2022-03-27,2022-04-26,26771250.0
6048,2022-02-08,2022-03-09,25932000.0
7245,2022-09-14,2022-10-14,27831000.0
3831,2022-09-27,2022-10-27,15915000.0
8364,2022-06-30,2022-07-30,22452000.0
7600,2022-04-30,2022-05-30,29118000.0
6391,2022-02-09,2022-03-10,1929000.0
6831,2022-05-22,2022-06-21,15576000.0
0465,2022-03-01,2022-03-31,20505000.0
6833,2022-04-23,2022-05-23,22161000.0
2447,2022-01-24,2022-02-23,21984000.0
5529,2022-05-29,2022-06-28,19434000.0
5924,2022-04-13,2022-05-13,25329000.000000004
3569,2022-08-18,2022-09-17,30887999.999999996
9181,2022-08-21,2022-09-20,27206250.0
1080,2022-01-05,2022-02-04,29358750.000000004
7841,2022-05-18,2022-06-17,19290000.0
7938,2022-07-05,2022-08-04,17901000.0
7946,2022-04-22,2022-05-22,14709000.0
7245,2022-09-10,2022-10-10,25608000.0
0379,2022-06-05,2022-07-05,17112000.0
4640,2022-06-17,2022-07-17,21798750.0
4460,2022-01-15,2022-02-14,27018750.0
7938,2022-07-17,2022-08-16,21630000.0
0688,2022-06-07,2022-07-07,17171250.0
9181,2022-01-27,2022-02-26,32595000.0
9883,2022-09-14,2022-10-14,10158000.0
1408,2022-02-21,2022-03-22,9768750.0
6160,2022-06-14,2022-07-14,19670999.999999996
7245,2022-06-06,2022-07-06,20157000.0
3568,2022-07-27,2022-08-26,21258000.0
5196,2022-09-16,2022-10-16,11166000.0
5529,2022-07-07,2022-08-06,23727000.0
1168,2022-04-14,2022-05-14,17100000.0
7228,2022-04-12,2022-05-12,19751250.0
7372,2022-02-17,2022-03-18,6240000.0
7841,2022-02-10,2022-03-12,27567000.0
9149,2022-08-15,2022-09-14,14406000.000000002
3448,2022-03-14,2022-04-13,32287499.999999996
7260,2022-08-30,2022-09-29,18192000.0
9883,2022-02-03,2022-03-05,15735000.0
9212,2022-04-08,2022-05-08,19443000.0
6632,2022-03-29,2022-04-28,25599000.0
9181,2022-05-20,2022-06-19,22554000.000000004
8976,2022-05-21,2022-06-20,25443000.0
4640,2022-09-02,2022-10-02,25713749.999999996
9883,2022-09-10,2022-10-10,14018999.999999998
5613,2022-04-24,2022-05-24,27791250.0
3271,2022-05-03,2022-06-02,8259000.0
4640,2022-06-30,2022-07-30,29325000.0
6177,2022-06-25,2022-07-25,21405000.0
5875,2022-05-27,2022-06-26,16797000.0
3569,2022-01-27,2022-02-26,17613000.0
8690,2022-06-15,2022-07-15,19256250.0
3271,2022-05-07,2022-06-06,18165000.0
6160,2022-08-22,2022-09-21,18552000.0
5924,2022-09-15,2022-10-15,36277500.0
5613,2022-09-28,2022-10-28,25155000.0
6077,2022-04-06,2022-05-06,24720000.0
3569,2022-08-07,2022-09-06,27654000.000000004
2423,2022-08-06,2022-09-05,17947500.0
7946,2022-08-08,2022-09-07,17496000.0
9149,2022-01-26,2022-02-25,7719000.0
7946,2022-07-03,2022-08-02,23715000.0
0465,2022-05-27,2022-06-26,12927000.000000002
9323,2022-01-14,2022-02-13,17805000.0
0625,2022-03-06,2022-04-05,12567000.0
1168,2022-05-01,2022-05-31,18735000.0
5573,2022-03-31,2022-04-30,17136000.0
3676,2022-05-17,2022-06-16,12387000.0
9322,2022-04-29,2022-05-29,16350000.0
2423,2022-02-26,2022-03-27,16926000.0
7946,2022-06-21,2022-07-21,17520000.0
9322,2022-07-12,2022-08-11,27705000.0
4632,2022-02-18,2022-03-19,27067500.000000004
3448,2022-01-15,2022-02-14,14592000.0
9460,2022-09-16,2022-10-16,17463000.0
5875,2022-09-13,2022-10-13,22809000.0
3993,2022-03-18,2022-04-17,18279000.0
9181,2022-06-21,2022-07-21,27000000.0
0688,2022-09-03,2022-10-03,10691250.0
8102,2022-02-20,2022-03-22,19916250.0
6708,2022-02-01,2022-03-02,30116250.0
0709,2022-07-27,2022-08-26,17604000.0
4651,2022-02-02,2022-03-04,24150000.0
0465,2022-04-23,2022-05-23,8100000.0
7050,2022-09-04,2022-10-04,23040000.0
3598,2022-09-12,2022-10-12,16932000.0
0379,2022-01-05,2022-02-04,18333000.0
2676,2022-09-30,2022-10-30,24375000.0
3448,2022-09-01,2022-10-01,26287499.999999996
9460,2022-06-29,2022-07-29,21651000.0
2820,2022-06-16,2022-07-16,15456000.000000002
7695,2022-03-21,2022-04-20,12204000.0
7228,2022-07-30,2022-08-29,18558000.0
0625,2022-06-19,2022-07-19,14424000.0
2687,2022-07-28,2022-08-27,14739000.0
8102,2022-03-15,2022-04-14,25080000.0
6708,2022-08-04,2022-09-03,13887000.0
9117,2022-04-14,2022-05-14,17100000.0
3271,2022-09-18,2022-10-18,7298999.999999999
9014,2022-03-14,2022-04-13,29343750.0
9883,2022-05-09,2022-06-08,5769000.0
9117,2022-05-28,2022-06-27,20316000.0
8364,2022-02-16,2022-03-18,16053000.0
5875,2022-09-26,2022-10-26,16971000.0
7329,2022-06-30,2022-07-30,25605000.0
3448,2022-03-12,2022-04-11,18738750.0
3271,2022-02-16,2022-03-17,8466000.0
4640,2022-04-13,2022-05-13,22665000.0
1080,2022-02-20,2022-03-22,32382000.0
8102,2022-03-04,2022-04-03,31181250.000000004
6296,2022-08-13,2022-09-12,9570000.0
5592,2022-07-27,2022-08-26,21427500.0
4640,2022-01-01,2022-01-31,24081000.0
5148,2022-04-19,2022-05-19,28197000.0
3831,2022-07-23,2022-08-22,24581250.0
9149,2022-07-13,2022-08-12,15339000.0
9174,2022-09-10,2022-10-10,19074000.0
5924,2022-07-27,2022-08-26,17784000.0
0379,2022-05-17,2022-06-16,23570999.999999996
5196,2022-08-12,2022-09-11,14925000.0
8942,2022-04-15,2022-05-15,6603000.000000001
9841,2022-01-09,2022-02-08,12597000.0
5573,2022-07-16,2022-08-15,30189000.0
7228,2022-01-29,2022-02-28,10361250.0
1408,2022-02-21,2022-03-22,16905000.0
6160,2022-03-13,2022-04-12,22862999.999999996
7260,2022-03-20,2022-04-19,31117500.0
1447,2022-01-17,2022-02-16,33135000.0
1080,2022-07-10,2022-08-09,25047000.0
9286,2022-05-20,2022-06-19,19848000.0
1408,2022-05-12,2022-06-11,14226000.0
5196,2022-07-30,2022-08-29,18684000.0
2026,2022-04-24,2022-05-24,18279000.0
7329,2022-06-10,2022-07-10,19101000.0
6048,2022-05-24,2022-06-23,21726000.0
9460,2022-01-01,2022-01-31,18696000.0
9174,2022-01-06,2022-02-05,21927000.0
8364,2022-02-13,2022-03-15,27630000.0
8820,2022-07-23,2022-08-22,25599000.0
9771,2022-04-21,2022-05-21,12114000.0
2423,2022-07-01,2022-07-31,20214000.0
7841,2022-04-24,2022-05-24,21504000.000000004
9758,2022-06-20,2022-07-20,14838000.0
8690,2022-09-16,2022-10-16,11091000.0
0709,2022-06-11,2022-07-11,19293750.0
0465,2022-08-01,2022-08-31,18300000.0
8690,2022-04-08,2022-05-08,26895000.0
7050,2022-09-20,2022-10-20,26697000.0
0783,2022-05-15,2022-06-14,24330000.0
6708,2022-09-11,2022-10-11,23856000.0
0187,2022-09-05,2022-10-05,25370999.999999996
4640,2022-09-19,2022-10-19,21627000.0
9883,2022-09-18,2022-10-18,28271250.0
7758,2022-09-23,2022-10-23,15637500.000000002
6391,2022-07-21,2022-08-20,2508000.0
6160,2022-08-22,2022-09-21,23055000.0
8887,2022-05-24,2022-06-23,15497999.999999998
9883,2022-01-07,2022-02-06,17373750.0
8156,2022-03-22,2022-04-21,12783000.0
4092,2022-08-14,2022-09-13,23532000.0
3993,2022-07-15,2022-08-14,14595000.0
8887,2022-04-10,2022-05-10,22335000.0
5284,2022-02-24,2022-03-25,13428000.0
9758,2022-05-01,2022-05-31,21093750.0
5284,2022-05-25,2022-06-24,20505000.0
6391,2022-06-17,2022-07-17,2409000.0
3676,2022-06-04,2022-07-04,21408750.0
7228,2022-09-12,2022-10-12,23197500.0
3993,2022-07-17,2022-08-16,16863000.0
5196,2022-06-09,2022-07-09,19497000.0
0688,2022-06-05,2022-07-05,16151250.0
9014,2022-07-01,2022-07-31,21807000.0
7938,2022-04-29,2022-05-29,24543750.0
8156,2022-08-20,2022-09-19,18474000.0
7329,2022-08-18,2022-09-17,18513000.0
9014,2022-06-22,2022-07-22,18360000.0
0783,2022-05-07,2022-06-06,22923750.0
7228,2022-02-11,2022-03-12,16875000.0
7228,2022-04-11,2022-05-11,12918000.0
8942,2022-01-25,2022-02-24,2265000.0
8690,2022-05-31,2022-06-30,18705000.0
5164,2022-07-26,2022-08-25,29332500.0
8389,2022-09-22,2022-10-22,20328000.0
1604,2022-06-12,2022-07-12,16841250.0
9771,2022-01-20,2022-02-19,16953000.0
5875,2022-01-13,2022-02-12,26367000.0
7600,2022-05-19,2022-06-18,17997000.0
6048,2022-07-28,2022-08-27,22662000.000000004
9460,2022-09-21,2022-10-21,2589000.0000000005
7758,2022-08-21,2022-09-20,18261000.0
5573,2022-04-29,2022-05-29,33547499.999999996
4460,2022-05-08,2022-06-07,23197500.0
9212,2022-07-26,2022-08-25,15468000.0
9883,2022-09-12,2022-10-12,11066250.0
6833,2022-01-26,2022-02-25,19146000.0
7946,2022-04-13,2022-05-13,13605000.0
6048,2022-05-17,2022-06-16,23016000.0
7600,2022-08-30,2022-09-29,27911250.000000004
3568,2022-09-05,2022-10-05,20250000.0
8887,2022-07-17,2022-08-16,21611250.0
8887,2022-08-29,2022-09-28,11511000.0
9250,2022-06-12,2022-07-12,9588000.0
8820,2022-04-02,2022-05-02,20991000.0
9725,2022-07-30,2022-08-29,22485000.0
8156,2022-01-17,2022-02-16,23295000.0
9250,2022-03-15,2022-04-14,14346000.0
9250,2022-05-29,2022-06-28,17121000.0
6004,2022-04-18,2022-05-18,16851000.0
8364,2022-03-21,2022-04-20,24906000.0
4092,2022-08-06,2022-09-05,27708000.0
9117,2022-01-25,2022-02-24,8283750.0
9322,2022-09-06,2022-10-06,34362000.0
1080,2022-01-25,2022-02-24,29921250.000000004
5875,2022-04-23,2022-05-23,22112999.999999996
9117,2022-05-29,2022-06-28,16665000.0
7946,2022-08-11,2022-09-10,20202000.0
9771,2022-05-19,2022-06-18,20667000.0
9323,2022-08-09,2022-09-08,18318000.0
1604,2022-09-25,2022-10-25,24869999.999999996
3598,2022-01-03,2022-02-02,14853000.0
3676,2022-07-21,2022-08-20,6165000.0
3271,2022-05-07,2022-06-06,7317000.0
9212,2022-08-10,2022-09-09,19305000.0
5284,2022-08-21,2022-09-20,29664000.0
8887,2022-06-17,2022-07-17,12114000.0
9771,2022-09-23,2022-10-23,16962000.0
0465,2022-09-03,2022-10-03,16278749.999999998
6708,2022-03-24,2022-04-23,34785000.0
6627,2022-01-06,2022-02-05,14121000.0
8820,2022-02-06,2022-03-07,21437999.999999996
4632,2022-05-07,2022-06-06,15066000.0
4460,2022-03-09,2022-04-08,12363750.0
7228,2022-07-10,2022-08-09,19245000.0
8690,2022-04-18,2022-05-18,22467000.0
5196,2022-01-02,2022-02-01,13713000.0
9928,2022-01-12,2022-02-11,15621000.0
6077,2022-03-30,2022-04-29,6420000.0
8389,2022-01-31,2022-03-02,23542500.0
7260,2022-03-07,2022-04-06,21849000.0
7228,2022-05-06,2022-06-05,12270000.0
8102,2022-04-17,2022-05-17,26471250.0
6296,2022-04-12,2022-05-12,8187000.0
3448,2022-05-02,2022-06-01,24795000.0
2824,2022-01-08,2022-02-07,15495000.0
7946,2022-09-18,2022-10-18,8211000.0
1408,2022-01-02,2022-02-01,19466250.0
5592,2022-05-01,2022-05-31,18465000.0
3568,2022-05-08,2022-06-07,14541000.0
5924,2022-09-01,2022-10-01,17958000.0
1080,2022-03-02,2022-04-01,16368000.0
9181,2022-04-16,2022-05-16,18360000.0
5284,2022-08-21,2022-09-20,19670999.999999996
6831,2022-05-11,2022-06-10,10761000.0
0688,2022-07-16,2022-08-15,3446250.0
2423,2022-06-08,2022-07-08,18186000.0
5924,2022-01-06,2022-02-05,20766000.0
6177,2022-07-03,2022-08-02,14454000.0
9149,2022-08-13,2022-09-12,15738000.0
9725,2022-03-29,2022-04-28,27812999.999999996
3448,2022-02-26,2022-03-28,30112500.0
8887,2022-10-01,2022-10-31,12600000.0
9771,2022-07-19,2022-08-18,20220000.0
5573,2022-02-11,2022-03-13,32520000.0
1168,2022-01-13,2022-02-12,11754000.0
2824,2022-04-02,2022-05-02,25122000.0
1604,2022-03-07,2022-04-06,23793750.0
7856,2022-08-24,2022-09-23,30907500.0
7372,2022-02-27,2022-03-29,17751000.0
8887,2022-04-15,2022-05-15,19257000.0
6048,2022-09-24,2022-10-24,22899000.0
9014,2022-03-30,2022-04-29,19398000.0
8389,2022-05-03,2022-06-02,22070999.999999996
6177,2022-03-30,2022-04-29,7710000.0
3831,2022-02-26,2022-03-28,27783750.0
6831,2022-06-20,2022-07-20,14610000.0
4460,2022-05-14,2022-06-13,24228000.0
6077,2022-05-04,2022-06-03,12777000.000000002
8364,2022-02-04,2022-03-05,20934000.0
8976,2022-09-26,2022-10-26,15954000.0
7946,2022-08-14,2022-09-13,17859000.0
4460,2022-04-22,2022-05-22,28185000.0
6296,2022-08-03,2022-09-02,13593000.0
0465,2022-04-02,2022-05-02,18900000.0
4092,2022-04-08,2022-05-08,23223000.0
6048,2022-04-08,2022-05-08,24768000.0
5924,2022-01-19,2022-02-18,27135000.0
9460,2022-07-24,2022-08-23,23718000.0
3271,2022-02-26,2022-03-28,11964000.0
5920,2022-01-01,2022-01-31,10830000.0
5924,2022-04-14,2022-05-14,24378000.0
5592,2022-05-28,2022-06-27,13299000.0
2621,2022-06-24,2022-07-24,27186000.0
7372,2022-03-17,2022-04-16,10371000.0
1080,2022-05-27,2022-06-26,27675000.0
8156,2022-01-19,2022-02-18,16746000.0
5613,2022-08-29,2022-09-28,20827500.0
6160,2022-02-25,2022-03-26,24962999.999999996
7856,2022-07-27,2022-08-26,18951000.0
7938,2022-03-17,2022-04-16,29268750.0
9841,2022-09-19,2022-10-19,20574000.0
3993,2022-04-16,2022-05-16,23283000.0
8887,2022-01-12,2022-02-11,11088000.0
9758,2022-05-14,2022-06-13,15864000.0
8102,2022-03-09,2022-04-08,17572500.0
9181,2022-08-27,2022-09-26,37432500.0
5592,2022-09-07,2022-10-07,4359000.0
3569,2022-06-23,2022-07-23,26568000.0
8102,2022-05-29,2022-06-28,25256249.999999996
5164,2022-01-14,2022-02-13,15558000.0
3598,2022-07-20,2022-08-19,25362000.000000004
6833,2022-05-01,2022-05-31,28110000.0
7372,2022-03-18,2022-04-17,9024000.0
0688,2022-03-26,2022-04-25,20685000.0
7938,2022-06-22,2022-07-22,11643000.0
6077,2022-05-14,2022-06-13,12921000.0
6627,2022-02-13,2022-03-15,17205000.0
2423,2022-06-01,2022-07-01,23394000.0
6048,2022-06-09,2022-07-09,23124000.0
3448,2022-09-14,2022-10-14,18042000.0
8389,2022-06-11,2022-07-11,26457000.0
9460,2022-08-20,2022-09-19,15615000.0
5875,2022-03-25,2022-04-24,19046250.0
4632,2022-03-25,2022-04-24,19295999.999999996
0379,2022-06-24,2022-07-24,18498000.0
7209,2022-07-23,2022-08-22,16809000.0
4460,2022-04-28,2022-05-28,23486250.0
1168,2022-06-12,2022-07-12,8040000.0
2687,2022-04-15,2022-05-15,16599000.0
7695,2022-03-20,2022-04-19,14970000.0
7938,2022-01-16,2022-02-15,32917500.0
7841,2022-07-02,2022-08-01,26742000.0
5164,2022-03-03,2022-04-02,23922000.0
0709,2022-02-19,2022-03-20,23568750.0
8389,2022-04-18,2022-05-18,15111000.0
1080,2022-07-15,2022-08-14,18444000.0
2820,2022-05-24,2022-06-23,18435000.0
9212,2022-01-28,2022-02-27,22275000.0
8102,2022-05-10,2022-06-09,25578749.999999996
9117,2022-01-02,2022-02-01,18596250.0
9928,2022-06-27,2022-07-27,13725000.0
9322,2022-03-26,2022-04-25,35977500.0
6708,2022-05-05,2022-06-04,22947000.0
8976,2022-03-25,2022-04-24,20223000.0
5875,2022-05-22,2022-06-21,24772500.0
7050,2022-09-19,2022-10-19,15759000.0
7329,2022-06-30,2022-07-30,22266000.0
1080,2022-08-05,2022-09-04,27648000.0
7245,2022-01-04,2022-02-03,20312999.999999996
6177,2022-06-22,2022-07-22,10986000.0
7260,2022-04-30,2022-05-30,17934000.0
7695,2022-03-19,2022-04-18,17163000.0
8389,2022-01-12,2022-02-11,22631250.0
7758,2022-03-19,2022-04-18,27187500.0
9460,2022-01-05,2022-02-04,9684000.0
3271,2022-04-10,2022-05-10,11805000.0
5920,2022-06-11,2022-07-11,15927000.000000002
5164,2022-08-21,2022-09-20,18423000.0
0688,2022-08-22,2022-09-21,10980000.0
6632,2022-09-06,2022-10-06,16950000.0
2824,2022-01-06,2022-02-05,21150000.0
9181,2022-05-18,2022-06-17,37443750.0
8942,2022-05-26,2022-06-25,2241000.0
1168,2022-06-11,2022-07-11,24789000.0
6831,2022-08-13,2022-09-12,10722000.0
7372,2022-06-03,2022-07-03,10467000.0
8976,2022-05-12,2022-06-11,31101000.0
7856,2022-03-08,2022-04-07,21735000.0
0379,2022-02-12,2022-03-13,8463000.0
6632,2022-05-20,2022-06-19,16809000.0
7209,2022-08-20,2022-09-19,22665000.0
7600,2022-02-18,2022-03-20,13653000.0
2026,2022-04-26,2022-05-26,31062000.000000004
9250,2022-02-20,2022-03-21,20523000.0
5148,2022-05-10,2022-06-09,25923000.0
1604,2022-01-29,2022-02-28,29763750.0
8887,2022-02-03,2022-03-05,13938750.0
2676,2022-05-28,2022-06-27,16968000.0
9928,2022-04-03,2022-05-03,31481250.0
0379,2022-08-11,2022-09-10,14124000.0
9758,2022-05-25,2022-06-24,15402000.000000002
9174,2022-03-02,2022-04-01,16137000.0
2824,2022-02-27,2022-03-29,19362000.000000004
4640,2022-04-02,2022-05-02,28386000.0
7228,2022-02-09,2022-03-11,13012500.000000002
8389,2022-03-01,2022-03-31,20017500.0
9117,2022-03-01,2022-03-31,22008750.0
8364,2022-02-06,2022-03-08,27477000.0
6627,2022-08-01,2022-08-31,26049000.0
8102,2022-04-08,2022-05-08,16803000.0
9014,2022-01-17,2022-02-16,20997000.0
7600,2022-08-04,2022-09-03,27162000.000000004
8942,2022-09-18,2022-10-18,3918000.0
3568,2022-03-30,2022-04-29,10863000.0
7209,2022-06-19,2022-07-19,10868999.999999998
8942,2022-05-25,2022-06-24,15480000.0
9250,2022-09-15,2022-10-15,13947000.0
2026,2022-05-31,2022-06-30,21198000.0
8942,2022-07-03,2022-08-02,7623000.0
9149,2022-01-09,2022-02-08,19743000.0
6627,2022-08-08,2022-09-07,23400000.0
5284,2022-02-28,2022-03-29,23673000.0
8156,2022-05-17,2022-06-16,24660000.0
9250,2022-01-20,2022-02-19,19629000.000000004
8389,2022-03-10,2022-04-09,11106000.000000002
2687,2022-05-06,2022-06-05,12516000.0
7841,2022-08-08,2022-09-07,16122000.0
6077,2022-07-29,2022-08-28,9777000.000000002
5613,2022-04-16,2022-05-16,26947500.0
3831,2022-03-29,2022-04-28,29730000.0
3598,2022-09-29,2022-10-29,27273000.0
7600,2022-08-01,2022-08-31,23706000.0
6048,2022-09-25,2022-10-25,26574000.0
3568,2022-04-25,2022-05-25,21864000.0
7050,2022-03-07,2022-04-06,18672000.0
7654,2022-08-11,2022-09-10,6912000.0
6004,2022-06-16,2022-07-16,19653000.0
3568,2022-05-25,2022-06-24,28992000.0
9883,2022-05-23,2022-06-22,7128750.000000001
8102,2022-09-22,2022-10-22,12322500.0
