BOROUGH,BUILDING_CLASS,RESIDENTIAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,TAX_CLASS,SALE_PRICE,AGE,STORIES
BRONX,TWO-FAMILY HOME,2,1916,2000,Class 1,209000,61.955594,1
BRONX,TWO-FAMILY HOME,2,1710,1651,Class 1,453000,62.221347,1
BRONX,TWO-FAMILY HOME,2,1710,1651,Class 1,270000,61.78847,1
BRONX,TWO-FAMILY HOME,2,1924,2700,Class 1,550000,67.098059,1
BRONX,TWO-FAMILY HOME,2,2375,2700,Class 1,408000,67.144635,1
BRONX,TWO-FAMILY HOME,2,2000,1800,Class 1,450000,58.026826,1
BRONX,TWO-FAMILY HOME,2,5000,2368,Class 1,475000,46.750114,1
BRONX,OVER-THREE FAMILY HOME,3,2624,2760,Class 1,310000,9.347374,1
BRONX,OVER-THREE FAMILY HOME,3,3284,3219,Class 1,608940,116.300806,1
BRONX,OVER-THREE FAMILY HOME,3,2375,2628,Class 1,447000,118.032313,1
BRONX,OVER-THREE FAMILY HOME,3,3225,2968,Class 1,540000,41.79395,1
BRONX,OVER-THREE FAMILY HOME,3,2500,4125,Class 1,451800,13.270662,2
BRONX,OVER-THREE FAMILY HOME,3,2685,2961,Class 1,360000,87.054224,1
BRONX,OVER-THREE FAMILY HOME,3,2771,2950,Class 1,605000,44.056963,1
BRONX,OVER-THREE FAMILY HOME,3,2000,2920,Class 1,300000,55.665183,1
BRONX,OVER-THREE FAMILY HOME,3,2375,3232,Class 1,555000,56.919977,1
BRONX,OVER-THREE FAMILY HOME,3,2090,3016,Class 1,380000,47.38847,1
BRONX,OVER-THREE FAMILY HOME,3,2981,3300,Class 1,415000,16.88984,1
BRONX,TWO-FAMILY HOME,2,3027,2100,Class 1,280000,87.046005,1
BRONX,TWO-FAMILY HOME,2,1682,2369,Class 1,485000,97.306279,1
BRONX,TWO-FAMILY HOME,2,2696,3287,Class 1,180000,107.15834,1
BRONX,TWO-FAMILY HOME,2,2692,2060,Class 1,245000,107.309025,1
BRONX,TWO-FAMILY HOME,2,2499,2827,Class 1,360000,116.580258,1
BRONX,TWO-FAMILY HOME,2,3125,3503,Class 1,580000,116.237792,1
BRONX,TWO-FAMILY HOME,2,1650,1040,Class 1,470000,116.007656,1
BRONX,TWO-FAMILY HOME,2,2000,2583,Class 1,585000,118.448751,1
BRONX,TWO-FAMILY HOME,2,1835,2500,Class 1,400000,116.317245,1
BRONX,TWO-FAMILY HOME,2,2440,2028,Class 1,592000,106.815875,1
BRONX,TWO-FAMILY HOME,2,2500,2728,Class 1,200000,107.144642,1
BRONX,TWO-FAMILY HOME,2,2060,1630,Class 1,125000,118.319984,1
BRONX,TWO-FAMILY HOME,2,2500,4040,Class 1,575000,97.615868,2
BRONX,TWO-FAMILY HOME,2,2178,3288,Class 1,550000,97.328196,2
BRONX,TWO-FAMILY HOME,2,2352,3500,Class 1,530000,97.459703,1
BRONX,TWO-FAMILY HOME,2,3000,1801,Class 1,304200,102.024087,1
BRONX,TWO-FAMILY HOME,2,2750,1536,Class 1,120000,102.552854,1
BRONX,TWO-FAMILY HOME,2,2500,2136,Class 1,418500,116.240532,1
BRONX,TWO-FAMILY HOME,2,2117,1296,Class 1,575000,116.695327,1
BRONX,TWO-FAMILY HOME,2,1855,2092,Class 1,358000,116.300806,1
BRONX,TWO-FAMILY HOME,2,2200,2264,Class 1,469775,107.037792,1
BRONX,TWO-FAMILY HOME,2,1858,1364,Class 1,358000,116.676149,1
BRONX,TWO-FAMILY HOME,2,2500,3000,Class 1,565000,116.36108,1
BRONX,TWO-FAMILY HOME,2,2810,2484,Class 1,591000,102.218607,1
BRONX,TWO-FAMILY HOME,2,2500,2400,Class 1,565000,101.846005,1
BRONX,TWO-FAMILY HOME,2,2500,2532,Class 1,527000,96.843265,1
BRONX,OVER-THREE FAMILY HOME,3,2835,2313,Class 1,480000,92.303539,1
BRONX,OVER-THREE FAMILY HOME,3,2569,3780,Class 1,500000,115.911765,1
BRONX,OVER-THREE FAMILY HOME,3,3000,2988,Class 1,525000,118.446012,1
BRONX,OVER-THREE FAMILY HOME,3,2500,3300,Class 1,450000,101.314498,1
BRONX,OVER-THREE FAMILY HOME,3,1650,2400,Class 1,125000,86.79395,1
BRONX,OVER-THREE FAMILY HOME,3,1650,2400,Class 1,320000,87.0871,1
BRONX,OVER-THREE FAMILY HOME,3,1650,2400,Class 1,365653,87.0871,1
BRONX,OVER-THREE FAMILY HOME,3,2167,2772,Class 1,600000,87.48984,1
BRONX,TWO-FAMILY HOME,2,2250,2156,Class 1,510000,107.66245,1
BRONX,TWO-FAMILY HOME,2,2250,2140,Class 1,590000,107.451491,1
BRONX,TWO-FAMILY HOME,2,2250,2140,Class 1,450000,107.095327,1
BRONX,TWO-FAMILY HOME,2,1900,3000,Class 1,319000,116.624094,2
BRONX,TWO-FAMILY HOME,2,2437,3432,Class 1,550000,116.552861,1
BRONX,TWO-FAMILY HOME,2,1238,1548,Class 1,300000,92.435046,1
BRONX,TWO-FAMILY HOME,2,2500,2209,Class 1,525000,92.161073,1
BRONX,TWO-FAMILY HOME,2,1320,1120,Class 1,420000,87.646005,1
BRONX,TWO-FAMILY HOME,2,1717,1404,Class 1,435000,96.944635,1
BRONX,TWO-FAMILY HOME,2,2375,2380,Class 1,440000,92.322717,1
BRONX,TWO-FAMILY HOME,2,2000,1628,Class 1,540000,107.155601,1
BRONX,TWO-FAMILY HOME,2,2000,2310,Class 1,300000,107.037792,1
BRONX,OVER-THREE FAMILY HOME,3,1810,2364,Class 1,180000,116.700806,1
BRONX,OVER-THREE FAMILY HOME,3,1491,3077,Class 1,500000,12.451484,2
BRONX,OVER-THREE FAMILY HOME,3,1466,2209,Class 1,615000,12.078881,2
BRONX,OVER-THREE FAMILY HOME,3,2154,2321,Class 1,270375,116.547382,1
BRONX,OVER-THREE FAMILY HOME,3,2369,3925,Class 1,486000,92.437785,2
BRONX,TWO-FAMILY HOME,2,2571,2520,Class 1,435000,56.955594,1
BRONX,TWO-FAMILY HOME,2,2500,1690,Class 1,330000,92.418607,1
BRONX,TWO-FAMILY HOME,2,2500,1619,Class 1,459000,91.804909,1
BRONX,TWO-FAMILY HOME,2,2500,1540,Class 1,375000,92.59121,1
BRONX,TWO-FAMILY HOME,2,2500,2178,Class 1,235000,92.536416,1
BRONX,TWO-FAMILY HOME,2,2500,2680,Class 1,350000,97.462443,1
BRONX,TWO-FAMILY HOME,2,2500,2310,Class 1,580000,97.119977,1
BRONX,TWO-FAMILY HOME,2,2300,1998,Class 1,605000,52.500799,1
BRONX,TWO-FAMILY HOME,2,2500,1219,Class 1,440000,87.18847,1
BRONX,TWO-FAMILY HOME,2,2500,1920,Class 1,605000,91.881621,1
BRONX,TWO-FAMILY HOME,2,2500,2018,Class 1,525000,57.572032,1
BRONX,TWO-FAMILY HOME,2,2500,1350,Class 1,400000,61.89532,1
BRONX,TWO-FAMILY HOME,2,5000,2095,Class 1,520000,51.851484,1
BRONX,TWO-FAMILY HOME,2,1480,1990,Class 1,420000,67.015868,1
BRONX,TWO-FAMILY HOME,2,2142,1375,Class 1,429000,67.035046,1
BRONX,TWO-FAMILY HOME,2,3425,1375,Class 1,485000,67.58847,1
BRONX,TWO-FAMILY HOME,2,2200,1738,Class 1,350000,77.248744,1
BRONX,TWO-FAMILY HOME,2,2800,1054,Class 1,500000,62.051484,1
BRONX,TWO-FAMILY HOME,2,2800,1054,Class 1,435000,62.051484,1
BRONX,TWO-FAMILY HOME,2,2127,2036,Class 1,355000,82.511758,1
BRONX,TWO-FAMILY HOME,2,2127,1710,Class 1,300000,96.961073,1
BRONX,TWO-FAMILY HOME,2,2127,2780,Class 1,426400,86.900799,1
BRONX,TWO-FAMILY HOME,2,1079,888,Class 1,135000,97.054224,1
BRONX,TWO-FAMILY HOME,2,4526,2022,Class 1,495000,92.262443,1
BRONX,TWO-FAMILY HOME,2,1076,2061,Class 1,560000,11.418607,2
BRONX,TWO-FAMILY HOME,2,1433,2061,Class 1,550000,11.207648,1
BRONX,TWO-FAMILY HOME,2,2100,1782,Class 1,454000,56.744635,1
BRONX,TWO-FAMILY HOME,2,2000,2070,Class 1,500000,72.330936,1
BRONX,TWO-FAMILY HOME,2,3325,1892,Class 1,605000,77.451484,1
BRONX,TWO-FAMILY HOME,2,2640,2074,Class 1,430000,67.229566,1
BRONX,TWO-FAMILY HOME,2,2175,2800,Class 1,430000,52.517237,1
BRONX,TWO-FAMILY HOME,2,1967,2375,Class 1,415000,66.752854,1
BRONX,TWO-FAMILY HOME,2,1967,2375,Class 1,421000,67.076142,1
BRONX,TWO-FAMILY HOME,2,2500,1661,Class 1,315000,87.39395,1
BRONX,TWO-FAMILY HOME,2,1820,2040,Class 1,482948,66.884361,1
BRONX,TWO-FAMILY HOME,2,5896,1778,Class 1,500000,96.985731,1
BRONX,TWO-FAMILY HOME,2,4000,1606,Class 1,609500,11.865183,1
BRONX,TWO-FAMILY HOME,2,3990,2937,Class 1,590000,72.399429,1
BRONX,TWO-FAMILY HOME,2,4023,1772,Class 1,340000,97.040525,1
BRONX,TWO-FAMILY HOME,2,2500,1626,Class 1,330971,92.498059,1
BRONX,TWO-FAMILY HOME,2,2500,2074,Class 1,540000,56.782991,1
BRONX,TWO-FAMILY HOME,2,1992,1862,Class 1,520000,61.725457,1
BRONX,TWO-FAMILY HOME,2,1992,1862,Class 1,388000,61.799429,1
BRONX,TWO-FAMILY HOME,2,2225,1752,Class 1,517000,67.281621,1
BRONX,TWO-FAMILY HOME,2,4184,1680,Class 1,430000,107.525464,1
BRONX,TWO-FAMILY HOME,2,2375,2620,Class 1,530000,97.037785,1
BRONX,TWO-FAMILY HOME,2,2375,2068,Class 1,330000,102.002169,1
BRONX,TWO-FAMILY HOME,2,2250,2826,Class 1,615000,76.930936,1
BRONX,TWO-FAMILY HOME,2,2000,1560,Class 1,415000,72.366553,1
BRONX,TWO-FAMILY HOME,2,2000,1560,Class 1,356000,72.522717,1
BRONX,TWO-FAMILY HOME,2,2500,2100,Class 1,485000,82.276142,1
BRONX,TWO-FAMILY HOME,2,1425,1672,Class 1,550000,67.39395,1
BRONX,TWO-FAMILY HOME,2,2200,2398,Class 1,480000,72.517237,1
BRONX,TWO-FAMILY HOME,2,2200,2017,Class 1,480000,67.385731,1
BRONX,OVER-THREE FAMILY HOME,3,2500,3290,Class 1,475000,92.514498,1
BRONX,OVER-THREE FAMILY HOME,3,2500,2168,Class 1,465000,91.802169,1
BRONX,OVER-THREE FAMILY HOME,3,2200,3340,Class 1,565000,30.314498,2
BRONX,OVER-THREE FAMILY HOME,3,2500,1832,Class 1,400000,82.473402,1
BRONX,OVER-THREE FAMILY HOME,3,5000,2946,Class 1,536000,92.48984,1
BRONX,OVER-THREE FAMILY HOME,3,2000,2468,Class 1,280000,107.267929,1
BRONX,OVER-THREE FAMILY HOME,4,2950,3900,Class 2,650000,89.89258,1
BRONX,OVER-THREE FAMILY HOME,4,2600,3160,Class 2,380000,92.207648,1
BRONX,OVER-THREE FAMILY HOME,4,2600,3160,Class 2,380000,92.207648,1
BRONX,TWO-FAMILY HOME,2,2522,1902,Class 1,471594,16.813128,1
BRONX,TWO-FAMILY HOME,2,3987,1902,Class 1,510000,15.832306,1
BRONX,TWO-FAMILY HOME,2,2325,1902,Class 1,580000,17.539155,1
BRONX,TWO-FAMILY HOME,2,2237,2314,Class 1,570000,51.944635,1
BRONX,TWO-FAMILY HOME,2,2712,3316,Class 1,544763,17.39121,1
BRONX,TWO-FAMILY HOME,2,2968,2073,Class 1,440000,52.010388,1
BRONX,TWO-FAMILY HOME,2,6387,1672,Class 1,565000,66.8871,1
BRONX,TWO-FAMILY HOME,2,2500,1638,Class 1,300001,52.39395,1
BRONX,TWO-FAMILY HOME,2,3000,1245,Class 1,399000,87.004909,1
BRONX,TWO-FAMILY HOME,2,3000,2325,Class 1,280000,30.552854,1
BRONX,TWO-FAMILY HOME,2,2417,1730,Class 1,260000,82.256963,1
BRONX,TWO-FAMILY HOME,2,2842,2810,Class 1,351100,56.782991,1
BRONX,TWO-FAMILY HOME,2,3893,2680,Class 1,500000,29.314498,1
BRONX,TWO-FAMILY HOME,2,2500,1785,Class 1,400000,52.39395,1
BRONX,TWO-FAMILY HOME,2,2250,1674,Class 1,405000,101.906279,1
BRONX,TWO-FAMILY HOME,2,2408,1620,Class 1,360000,51.856963,1
BRONX,TWO-FAMILY HOME,2,3058,1782,Class 1,580000,67.651484,1
BRONX,TWO-FAMILY HOME,2,3058,1782,Class 1,319410,67.267922,1
BRONX,TWO-FAMILY HOME,2,5150,2262,Class 1,600000,67.18847,1
BRONX,TWO-FAMILY HOME,2,4283,1980,Class 1,362000,96.848744,1
BRONX,TWO-FAMILY HOME,2,1607,2862,Class 1,480177,107.640532,2
BRONX,TWO-FAMILY HOME,2,2575,1780,Class 1,535000,97.155594,1
BRONX,TWO-FAMILY HOME,2,2575,2900,Class 1,590000,97.224087,1
BRONX,TWO-FAMILY HOME,2,2351,1504,Class 1,515000,12.440525,1
BRONX,TWO-FAMILY HOME,2,2575,1770,Class 1,250000,52.19121,1
BRONX,TWO-FAMILY HOME,2,2314,2434,Class 1,440000,106.769299,1
BRONX,TWO-FAMILY HOME,2,2338,2434,Class 1,375000,106.826834,1
BRONX,TWO-FAMILY HOME,2,2146,2760,Class 1,550000,57.569292,1
BRONX,TWO-FAMILY HOME,2,2559,2238,Class 1,570000,97.561073,1
BRONX,TWO-FAMILY HOME,2,2017,2040,Class 1,525000,87.49258,1
BRONX,TWO-FAMILY HOME,2,2733,2310,Class 1,480000,87.550114,1
BRONX,TWO-FAMILY HOME,2,2300,1890,Class 1,527500,57.29532,1
BRONX,TWO-FAMILY HOME,2,3090,3366,Class 1,455000,56.796689,1
BRONX,TWO-FAMILY HOME,2,2060,2480,Class 1,510000,97.514498,1
BRONX,TWO-FAMILY HOME,2,2575,2160,Class 1,535000,91.917237,1
BRONX,TWO-FAMILY HOME,2,2575,2392,Class 1,600000,92.051484,1
BRONX,TWO-FAMILY HOME,2,4878,1959,Class 1,419657,116.314505,1
BRONX,TWO-FAMILY HOME,2,4878,1959,Class 1,419657,116.314505,1
BRONX,TWO-FAMILY HOME,2,2034,2132,Class 1,490000,116.333683,1
BRONX,TWO-FAMILY HOME,2,2549,2320,Class 1,500000,86.936416,1
BRONX,TWO-FAMILY HOME,2,4129,2112,Class 1,540000,87.311758,1
BRONX,TWO-FAMILY HOME,2,2635,2400,Class 1,425000,86.840525,1
BRONX,OVER-THREE FAMILY HOME,3,3153,3120,Class 1,599000,52.467922,1
BRONX,OVER-THREE FAMILY HOME,3,2167,2650,Class 1,460000,47.235046,1
BRONX,OVER-THREE FAMILY HOME,3,2500,3060,Class 1,335000,10.766553,1
BRONX,OVER-THREE FAMILY HOME,3,1744,2968,Class 1,425000,52.237785,2
BRONX,OVER-THREE FAMILY HOME,3,2693,3600,Class 1,585000,86.950114,1
BRONX,OVER-THREE FAMILY HOME,3,2588,3600,Class 1,498000,86.89258,1
BRONX,OVER-THREE FAMILY HOME,3,2588,3600,Class 1,346500,86.802169,1
BRONX,OVER-THREE FAMILY HOME,3,2575,3213,Class 1,560000,77.254224,1
BRONX,OVER-THREE FAMILY HOME,3,2506,2836,Class 1,289000,87.476142,1
BRONX,OVER-THREE FAMILY HOME,3,2673,2469,Class 1,300000,116.125464,1
BRONX,OVER-THREE FAMILY HOME,3,2549,2710,Class 1,600000,87.185731,1
BRONX,OVER-THREE FAMILY HOME,4,2609,3403,Class 2,650000,89.744635,1
BRONX,OVER-THREE FAMILY HOME,4,2575,3403,Class 2,525000,89.900799,1
BRONX,OVER-THREE FAMILY HOME,4,2549,3360,Class 2,320000,90.706279,1
BRONX,TWO-FAMILY HOME,2,1714,1602,Class 1,419000,56.835046,1
BRONX,TWO-FAMILY HOME,2,4000,2800,Class 1,500000,77.700799,1
BRONX,TWO-FAMILY HOME,2,2668,1422,Class 1,450000,96.996689,1
BRONX,TWO-FAMILY HOME,2,2550,1960,Class 1,430000,57.451484,1
BRONX,TWO-FAMILY HOME,2,2375,1937,Class 1,575000,102.100799,1
BRONX,TWO-FAMILY HOME,2,2338,1824,Class 1,442000,102.021347,1
BRONX,TWO-FAMILY HOME,2,2217,1572,Class 1,520000,62.451484,1
BRONX,TWO-FAMILY HOME,2,2113,1920,Class 1,453000,77.125457,1
BRONX,TWO-FAMILY HOME,2,2113,1920,Class 1,453000,77.125457,1
BRONX,TWO-FAMILY HOME,2,4160,2835,Class 1,610000,51.89258,1
BRONX,TWO-FAMILY HOME,2,3450,1562,Class 1,490000,92.473402,1
BRONX,TWO-FAMILY HOME,2,2392,1785,Class 1,533000,47.180251,1
BRONX,TWO-FAMILY HOME,2,2997,2016,Class 1,210000,62.706279,1
BRONX,TWO-FAMILY HOME,2,2916,2016,Class 1,545000,61.898059,1
BRONX,OVER-THREE FAMILY HOME,3,2929,2800,Class 1,445000,57.298059,1
BRONX,TWO-FAMILY HOME,2,2112,2028,Class 1,490000,115.76108,1
BRONX,TWO-FAMILY HOME,2,2053,2208,Class 1,270000,97.500799,1
BRONX,TWO-FAMILY HOME,2,2820,2650,Class 1,340000,96.922717,1
BRONX,TWO-FAMILY HOME,2,2100,2520,Class 1,420000,21.750114,1
BRONX,TWO-FAMILY HOME,2,2500,2338,Class 1,603000,97.558333,1
BRONX,TWO-FAMILY HOME,2,2100,1680,Class 1,410000,21.837785,1
BRONX,TWO-FAMILY HOME,2,2025,3087,Class 1,550000,97.024087,2
BRONX,TWO-FAMILY HOME,2,2500,2368,Class 1,450000,21.544635,1
